"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",,,
Secretaria de Comércio Exterior,,,
Departamento de Estatatísticas e Estudos de Comércio Exterior,,,
Exportações Brasileiras - Destino União Europeia - Valor em US$ FOB Milhões,,,
,,,
Data,Valor,Var. (%) Igual Período do Ano Anterior,Part. (%) no Total Brasil
2024,"19.193,8","-58,5","13,8"
2023,"46.299,3","-9,0","13,6"
2022,"50.892,8","39,3","15,2"
2021,"36.533,0","32,2","13,0"
2020,"27.641,6","-7,8","13,2"
2019,"29.967,7","-12,6","13,6"
2018,"34.292,1","13,5","14,8"
2017,"30.211,0","11,3","14,1"
2016,"27.146,9","-5,8","15,1"
2015,"28.809,0","-20,3","15,4"
2014,"36.162,7","-9,0","16,4"
2013,"39.717,8","-7,6","17,1"
2012,"42.973,7","-8,1","17,9"
2011,"46.741,0","24,9","18,4"
2010,"37.426,0","27,6","18,7"
2009,"29.337,8","-30,6","19,3"
2008,"42.278,3","15,8","21,6"
2007,"36.513,6","29,6","22,8"
2006,"28.165,4","15,3","20,5"
2005,"24.430,5","14,4","20,6"
2004,"21.360,9","27,6","22,5"
2003,"16.740,5","21,4","23,0"
2002,"13.788,9","-0,1","22,9"
2001,"13.797,6","-0,4","23,8"
2000,"13.847,0","8,4","25,2"
1999,"12.774,6","-8,3","26,6"
1998,"13.935,8","1,0","27,3"
1997,"13.802,9","0,0","26,1"
"Fonte: Secretaria de Comércio Exterior / Ministério do Desenvolvimento, Indústria, Comércio e Serviços",,,