"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",,,
Secretaria de Comércio Exterior,,,
Departamento de Estatatísticas e Estudos de Comércio Exterior,,,
Importações Brasileiras - Origem União Europeia - Valor em US$ FOB Milhões,,,
,,,
Data,Valor,Var. (%) Igual Período do Ano Anterior,Part. (%) no Total Brasil
2024,"19.465,0","-57,1","18,9"
2023,"45.423,2","2,6","18,9"
2022,"44.263,4","15,7","16,2"
2021,"38.262,0","26,2","17,4"
2020,"30.318,2","-13,2","19,1"
2019,"34.942,7","-2,0","18,8"
2018,"35.638,1","11,8","19,2"
2017,"31.872,7","10,7","20,1"
2016,"28.785,0","-14,9","20,7"
2015,"33.836,7","-22,1","19,5"
2014,"43.458,1","-7,8","18,8"
2013,"47.132,3","6,6","19,5"
2012,"44.201,3","2,6","19,6"
2011,"43.077,8","19,7","18,9"
2010,"35.994,8","34,2","19,6"
2009,"26.819,6","-20,3","20,7"
2008,"33.634,6","36,1","19,3"
2007,"24.713,8","31,8","20,3"
2006,"18.744,1","11,5","20,3"
2005,"16.818,1","15,2","22,5"
2004,"14.598,4","23,4","22,9"
2003,"11.825,6","-2,4","24,0"
2002,"12.115,9","-14,3","25,1"
2001,"14.145,1","6,3","25,0"
2000,"13.300,7","-5,5","23,3"
1999,"14.074,0","-10,4","28,0"
1998,"15.701,0","6,6","26,8"
1997,"14.730,7","0,0","24,3"
"Fonte: Secretaria de Comércio Exterior / Ministério do Desenvolvimento, Indústria, Comércio e Serviços",,,